set max length to: 126
Is CUDA available: True
num_params: 1219072
 [36480/36480 17:56, Epoch 30/30]
Epoch	Training Loss	Validation Loss
1	1.803300	1.333500
2	1.236100	1.209372
3	1.143600	1.150015
4	1.086400	1.104220
5	1.045100	1.062383
6	1.008900	1.035048
7	0.977300	1.004463
8	0.949600	0.982404
9	0.926100	0.960686
10	0.907600	0.950275
11	0.888300	0.926678
12	0.870900	0.913580
13	0.859500	0.902564
14	0.844900	0.895770
15	0.836100	0.883098
16	0.823600	0.876568
17	0.812400	0.872446
18	0.807400	0.861019
19	0.797500	0.856973
20	0.789800	0.855481
21	0.784000	0.852716
22	0.777800	0.844480
23	0.773900	0.839148
24	0.765600	0.837476
25	0.761000	0.834216
26	0.757400	0.831260
27	0.750800	0.827379
28	0.748800	0.827321
29	0.744900	0.827366
30	0.742300	0.825959
There were missing keys in the checkpoint model loaded: ['lm_head.weight'].
