 [3660036600 4734, Epoch 100100]
Epoch	Training Loss	Validation Loss
1	1.514800	1.070650
2	1.053800	0.927946
3	0.954100	0.858320
4	0.899300	0.818658
5	0.863400	0.796425
6	0.839500	0.774234
7	0.822100	0.776406
8	0.807600	0.752165
9	0.795900	0.742285
10	0.786900	0.735419
11	0.779000	0.730532
12	0.772700	0.725654
13	0.767000	0.721263
14	0.761500	0.714761
15	0.756600	0.714431
16	0.752900	0.707901
17	0.749000	0.706342
18	0.745400	0.702976
19	0.742600	0.700684
20	0.739500	0.697375
21	0.737300	0.696198
22	0.734900	0.693903
23	0.732800	0.691653
24	0.730900	0.691254
25	0.728700	0.689396
26	0.727100	0.688219
27	0.725200	0.686826
28	0.723900	0.684433
29	0.722500	0.685425
30	0.720900	0.683331
31	0.719600	0.682517
32	0.718600	0.680391
33	0.716900	0.680318
34	0.715500	0.678990
35	0.714800	0.679968
36	0.713800	0.676899
37	0.712500	0.677425
38	0.711600	0.679664
39	0.710300	0.675693
40	0.709700	0.675009
41	0.709100	0.675166
42	0.708100	0.673529
43	0.707300	0.672733
44	0.706300	0.673060
45	0.705400	0.672429
46	0.704900	0.671207
47	0.704000	0.671118
48	0.703600	0.670038
49	0.702700	0.668896
50	0.701800	0.667965
51	0.701400	0.669219
52	0.700500	0.668945
53	0.700200	0.666440
54	0.699900	0.666119
55	0.698600	0.666325
56	0.698300	0.666962
57	0.697900	0.666260
58	0.697200	0.666138
59	0.696400	0.664474
60	0.696000	0.663612
61	0.695600	0.662937
62	0.695100	0.664164
63	0.694400	0.662826
64	0.694000	0.663111
65	0.693600	0.663229
66	0.693100	0.661497
67	0.692700	0.661319
68	0.691900	0.661346
69	0.691600	0.661984
70	0.691200	0.660830
71	0.690800	0.660317
72	0.690400	0.659386
73	0.689900	0.659731
74	0.689400	0.659064
75	0.689200	0.658843
76	0.688600	0.658603
77	0.688200	0.658592
78	0.688100	0.658224
79	0.687400	0.657805
80	0.687100	0.657669
81	0.686800	0.656396
82	0.686300	0.656768
83	0.686100	0.656765
84	0.685600	0.656371
85	0.685600	0.655820
86	0.684800	0.655541
87	0.684700	0.655714
88	0.684300	0.655494
89	0.683900	0.655481
90	0.683600	0.654835
91	0.683400	0.654257
92	0.683000	0.654616
93	0.682500	0.654124
94	0.682200	0.653689
95	0.682000	0.653970
96	0.681900	0.653464
97	0.681500	0.653355
98	0.681200	0.653094
99	0.680900	0.652997
100	0.680600	0.652905
