set max length to: 74
Is CUDA available: True
num_params: 460992
 [36600/36600 1:00:08, Epoch 100/100]

Epoch	Training Loss	Validation Loss
1	1.405700	1.017494
2	1.006200	0.881428
3	0.908700	0.826827
4	0.860400	0.779834
5	0.828900	0.761821
6	0.807800	0.745953
7	0.791200	0.736098
8	0.777900	0.727510
9	0.767500	0.712396
10	0.758500	0.709529
11	0.750700	0.702300
12	0.744900	0.703441
13	0.739000	0.692215
14	0.733500	0.687440
15	0.729100	0.685777
16	0.725300	0.683698
17	0.722000	0.679279
18	0.718700	0.680329
19	0.715600	0.678233
20	0.712300	0.672975
21	0.710100	0.672598
22	0.707800	0.671698
23	0.705400	0.668385
24	0.703300	0.666865
25	0.701200	0.669701
26	0.699500	0.665200
27	0.697500	0.664479
28	0.696300	0.661968
29	0.694300	0.661073
30	0.692900	0.660350
31	0.691500	0.657748
32	0.690400	0.658408
33	0.688800	0.658365
34	0.687700	0.655854
35	0.686200	0.656142
36	0.685100	0.654490
37	0.684100	0.654694
38	0.683000	0.652681
39	0.681800	0.651261
40	0.680900	0.651934
41	0.679800	0.651060
42	0.678800	0.649345
43	0.678000	0.649024
44	0.677200	0.648836
45	0.676300	0.647447
46	0.675500	0.648242
47	0.674500	0.646801
48	0.673700	0.646838
49	0.672900	0.645331
50	0.672200	0.643786
51	0.671200	0.643607
52	0.670600	0.642876
53	0.670100	0.642187
54	0.669200	0.642055
55	0.668500	0.641695
56	0.667900	0.641403
57	0.667400	0.642040
58	0.666700	0.640896
59	0.666000	0.640319
60	0.665500	0.638843
61	0.665100	0.638815
62	0.664200	0.638232
63	0.663700	0.638127
64	0.663200	0.637445
65	0.662700	0.636811
66	0.662200	0.636516
67	0.661500	0.635943
68	0.661000	0.636198
69	0.660400	0.636356
70	0.659900	0.635206
71	0.659400	0.635101
72	0.659100	0.634930
73	0.658500	0.634524
74	0.658100	0.633997
75	0.657400	0.633981
76	0.657300	0.633044
77	0.656700	0.633569
78	0.656200	0.633152
79	0.655700	0.632406
80	0.655100	0.632161
81	0.654800	0.631868
82	0.654600	0.630677
83	0.654300	0.631199
84	0.653500	0.631362
85	0.653000	0.630998
86	0.652800	0.630118
87	0.652400	0.629783
88	0.652100	0.629836
89	0.651700	0.629297
90	0.651100	0.628831
91	0.650800	0.628550
92	0.650600	0.628998
93	0.649900	0.628484
94	0.649700	0.627942
95	0.649400	0.627833
96	0.649100	0.627518
97	0.648900	0.627729
98	0.648300	0.627346
99	0.648100	0.627222
100	0.647800	0.627118
