 [36600/36600 1:41:25, Epoch 100/100]
Epoch	Training Loss	Validation Loss
1	1.330700	0.931786
2	0.895600	0.797343
3	0.800200	0.746368
4	0.754800	0.716645
5	0.726900	0.695214
6	0.707600	0.681028
7	0.693700	0.668717
8	0.682600	0.662373
9	0.673600	0.653833
10	0.666400	0.658091
11	0.659800	0.642877
12	0.654000	0.638441
13	0.649300	0.636364
14	0.645200	0.631345
15	0.640300	0.629238
16	0.636700	0.626468
17	0.634100	0.623375
18	0.630900	0.620725
19	0.628100	0.620970
20	0.626200	0.616967
21	0.622600	0.615887
22	0.620200	0.613604
23	0.618400	0.612353
24	0.616400	0.611431
25	0.614300	0.609242
26	0.612300	0.608763
27	0.610600	0.606294
28	0.608500	0.606127
29	0.606800	0.603372
30	0.605600	0.602808
31	0.603900	0.602280
32	0.602200	0.599883
33	0.600800	0.599535
34	0.599500	0.598549
35	0.598000	0.597694
36	0.596700	0.597459
37	0.595500	0.596248
38	0.594600	0.595011
39	0.593200	0.594311
40	0.592000	0.594091
41	0.591000	0.593204
42	0.589900	0.591919
43	0.588700	0.591270
44	0.588000	0.591589
45	0.586700	0.590207
46	0.585800	0.589377
47	0.585000	0.589103
48	0.584200	0.588128
49	0.583100	0.587374
50	0.582300	0.588255
51	0.581400	0.586982
52	0.580600	0.585763
53	0.579900	0.586065
54	0.579000	0.584777
55	0.578300	0.584504
56	0.577600	0.584074
57	0.576600	0.583299
58	0.575900	0.583081
59	0.575200	0.583349
60	0.574600	0.582097
61	0.573800	0.581291
62	0.573400	0.581578
63	0.572600	0.581289
64	0.571800	0.580793
65	0.571400	0.580300
66	0.570700	0.580093
67	0.570300	0.579816
68	0.569700	0.579075
69	0.568900	0.579286
70	0.568300	0.578482
71	0.567800	0.577934
72	0.567100	0.577669
73	0.566500	0.577787
74	0.565900	0.576863
75	0.565400	0.576456
76	0.564900	0.576542
77	0.564300	0.576289
78	0.564000	0.576107
79	0.563100	0.575875
80	0.562700	0.575397
81	0.562200	0.575019
82	0.561700	0.575039
83	0.561200	0.574228
84	0.560600	0.574754
85	0.560200	0.574191
86	0.559600	0.573707
87	0.559300	0.573818
88	0.558700	0.573731
89	0.558200	0.573282
90	0.558000	0.573487
91	0.557200	0.572704
92	0.556800	0.572737
93	0.556500	0.572529
94	0.556100	0.572416
95	0.555500	0.572498
96	0.555100	0.572229
97	0.554700	0.571941
98	0.554300	0.571647
99	0.554000	0.571788
100	0.553600	0.571703
