 [28064/28064 15:00, Epoch 1/1]
Step	Training Loss	Validation Loss
1000	2.015200	1.585672
2000	1.455900	1.317053
3000	1.291800	1.198670
4000	1.201900	1.127697
5000	1.147900	1.070994
6000	1.100600	1.041518
7000	1.065400	1.013052
8000	1.048600	0.997523
9000	1.027200	0.964608
10000	1.005200	0.950643
11000	0.992900	0.942505
12000	0.976600	0.931136
13000	0.967000	0.924492
14000	0.958600	0.911689
15000	0.949800	0.904963
16000	0.943700	0.894238
17000	0.937400	0.887119
18000	0.927300	0.879588
19000	0.924100	0.875903
20000	0.916400	0.871377
21000	0.912800	0.866525
22000	0.907200	0.862073
23000	0.906700	0.858705
24000	0.896700	0.855562
25000	0.898200	0.851377
26000	0.899000	0.849603
27000	0.890500	0.848680
28000	0.887900	0.846186
